SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),720 6th Ave SW,LARGO,FL,33770,265000,3,2.0,RIDGE PARK,1040,6120,1941,1,255,,Active,,,http://www.redfin.com/FL/Largo/720-6th-Ave-SW-33770/home/48217385,Stellar MLS,T3309238,N,Y,27.9113704,-82.7961666
MLS Listing,,Multi-Family (2-4 Unit),5505 29th Ave S,GULFPORT,FL,33707,599000,3,2.0,BOCA CEIGA PARK,1430,5502,1940,2,419,,Active,,,http://www.redfin.com/FL/Gulfport/5505-29th-Ave-S-33707/home/48210795,Stellar MLS,U8124082,N,Y,27.7412304,-82.7082182
MLS Listing,,Multi-Family (2-4 Unit),3434 3rd Ave S,ST. PETERSBURG,FL,33711,279000,5,2.0,NOT APPLICABLE,1774,,1934,2,157,,Active,,,http://www.redfin.com/FL/St-Petersburg/3434-3rd-Ave-S-33711/home/48096040,FORTMLS,221038930,N,Y,27.7679546,-82.6803451
MLS Listing,,Multi-Family (2-4 Unit),144 174th Ave E,REDINGTON SHORES,FL,33708,595000,2,2.0,GAY SHORES,1092,5040,1950,5,545,,Active,,,http://www.redfin.com/FL/Redington-Shores/144-174th-Ave-E-33708/home/48198848,Stellar MLS,T3308117,N,Y,27.8230482,-82.8258775
MLS Listing,,Multi-Family (2-4 Unit),111 126th Ave,TREASURE ISLAND,FL,33706,489900,2,2.0,CONEY ISLAND,960,5201,1949,6,510,,Active,,,http://www.redfin.com/FL/Treasure-Island/111-126th-Ave-33706/home/48025208,Stellar MLS,U8124259,N,Y,27.7801975,-82.7806166
MLS Listing,,Multi-Family (2-4 Unit),7301 7th St N,ST PETERSBURG,FL,33702,595000,5,4.0,GLENSIDE SUB,1986,9396,1960,6,300,,Active,,,http://www.redfin.com/FL/St-Petersburg/7301-7th-St-N-33702/home/48174125,Stellar MLS,T3307305,N,Y,27.8391674,-82.642587
MLS Listing,,Multi-Family (2-4 Unit),11 Lynn Way,MADEIRA BEACH,FL,33708,625000,4,4.0,GULF SHORES 6TH ADD REP,1992,11866,1948,7,314,,Active,,,http://www.redfin.com/FL/Madeira-Beach/11-Lynn-Way-33708/home/47981336,Stellar MLS,U8123016,N,Y,27.7989272,-82.7895028
MLS Listing,,Multi-Family (5+ Unit),707 20th Ave S,ST PETERSBURG,FL,33705,525000,7,6.0,GLENWOOD PARK,3186,12362,1947,8,165,,Active,,,http://www.redfin.com/FL/St-Petersburg/707-20th-Ave-S-33705/home/48178591,Stellar MLS,T3307588,N,Y,27.7506125,-82.6428412
MLS Listing,,Multi-Family (2-4 Unit),3035 62nd Ave N,ST PETERSBURG,FL,33702,100000,3,3.0,WASHINGTON TERRACE,960,4988,1936,8,104,,Active,,,http://www.redfin.com/FL/St-Petersburg/3035-62nd-Ave-N-33702/home/48229498,Stellar MLS,T3307593,N,Y,27.828644,-82.674671
MLS Listing,,Multi-Family (2-4 Unit),3047 62nd Ave N,ST PETERSBURG,FL,33702,200000,4,2.0,WASHINGTON TERRACE,1276,4988,1953,8,157,,Active,,,http://www.redfin.com/FL/St-Petersburg/3047-62nd-Ave-N-33702/home/48229497,Stellar MLS,T3307583,N,Y,27.828644,-82.6748305
