SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),14000 Miramar Ave,MADEIRA BEACH,FL,33708,645000,4,3.0,GULF SHORES 3RD ADD REP,2196,6321,1956,3,294,,Active,,,http://www.redfin.com/FL/Madeira-Beach/14000-Miramar-Ave-33708/home/47980945,Stellar MLS,U8127453,N,Y,27.7951398,-82.790761
MLS Listing,,Multi-Family (2-4 Unit),2518 53rd St S,GULFPORT,FL,33707,464900,4,2.0,STAMMS REP,1764,13665,1987,3,264,,Active,,,http://www.redfin.com/FL/Gulfport/2518-53rd-St-S-33707/home/48211319,Stellar MLS,U8127409,N,Y,27.7451091,-82.7048893
MLS Listing,,Multi-Family (2-4 Unit),13337 1st St E,MADEIRA BEACH,FL,33708,450000,2,2.0,PAGE REP OF MITCHELLS BEACH,1064,4060,1967,4,423,,Active,,,http://www.redfin.com/FL/Madeira-Beach/13337-1st-St-E-33708/home/48025777,Stellar MLS,T3313195,N,Y,27.7905973,-82.786776
MLS Listing,,Multi-Family (5+ Unit),7295 60th St N,PINELLAS PARK,FL,33781,350000,5,4.0,PINELLAS PARK,2575,8015,1960,4,136,,Active,,,http://www.redfin.com/FL/Pinellas-Park/7295-60th-St-33781/home/48152911,Stellar MLS,U8127380,N,Y,27.838468,-82.715535
MLS Listing,,Multi-Family (2-4 Unit),197 148th Ave E,MADEIRA BEACH,FL,33708,499900,4,2.0,NORTH MADEIRA SHORES,1250,3376,1955,7,400,,Active,,,http://www.redfin.com/FL/Madeira-Beach/197-148th-Ave-33708/home/47970100,Stellar MLS,U8126884,N,Y,27.7997303,-82.7970404
MLS Listing,,Multi-Family (2-4 Unit),6855 48th Ave N,ST PETERSBURG,FL,33709,279900,3,2.0,AIRY ACRES 2,1048,6795,1959,10,267,,Active,,,http://www.redfin.com/FL/St-Petersburg/6855-48th-Ave-N-33709/home/47933380,Stellar MLS,U8123808,N,Y,27.8157091,-82.7334287
MLS Listing,,Multi-Family (2-4 Unit),5549 59th Way N,ST PETERSBURG,FL,33709,295000,4,2.0,LEALMAN HIGHLANDS 3,1176,6543,1973,13,251,,Active,,,http://www.redfin.com/FL/St-Petersburg/5549-59th-Way-N-33709/home/48200429,Stellar MLS,U8126224,N,Y,27.8224422,-82.7156078
MLS Listing,,Multi-Family (2-4 Unit),5565 59th Way N,ST PETERSBURG,FL,33709,315000,4,2.0,LEALMAN HIGHLANDS 3,1176,6538,1973,13,268,,Active,,,http://www.redfin.com/FL/St-Petersburg/5565-59th-Way-N-33709/home/48200426,Stellar MLS,U8126240,N,Y,27.8225522,-82.715514
MLS Listing,,Multi-Family (2-4 Unit),1860 Massachusetts Ave NE #321,ST PETERSBURG,FL,33703,137000,,,REGENCY CONDO THE,905,134159,1974,13,151,323,Active,,,http://www.redfin.com/FL/St-Petersburg/1860-Massachusetts-Ave-NE-33703/unit-321/home/47912220,Stellar MLS,T3311286,N,Y,27.8155879,-82.6008831
MLS Listing,,Multi-Family (2-4 Unit),1145 16th Ave S,ST PETERSBURG,FL,33705,325000,7,3.0,HOLLYWOOD ADD REV MAP OF,1740,6678,1927,17,187,,Active,,,http://www.redfin.com/FL/St-Petersburg/1145-16th-Ave-S-33705/home/48127113,Stellar MLS,U8125829,N,Y,27.7545794,-82.6506018
MLS Listing,,Multi-Family (2-4 Unit),2046 Queensboro Ave S,ST PETERSBURG,FL,33712,339000,6,3.0,TANHURST SUB,1672,4927,1960,17,203,,Active,,,http://www.redfin.com/FL/St-Petersburg/2046-Queensboro-Ave-S-33712/home/48128884,Stellar MLS,U8125845,N,Y,27.7527781,-82.660478
MLS Listing,,Multi-Family (2-4 Unit),4424 9th Ave S,ST PETERSBURG,FL,33711,305000,5,2.0,VINSETTA PARK ANNEX,2671,10080,1948,18,114,,Active,,,http://www.redfin.com/FL/St-Petersburg/4424-9th-Ave-S-33711/home/48146367,Stellar MLS,U8125064,N,Y,27.7606651,-82.6940943
MLS Listing,,Multi-Family (2-4 Unit),4711 23rd Ave S,ST PETERSBURG,FL,33711,225000,4,2.0,WEST BAY VIEW,1690,5001,1922,24,133,,Active,,,http://www.redfin.com/FL/St-Petersburg/4711-23rd-Ave-S-33711/home/48211942,Stellar MLS,T3308047,N,Y,27.7477508,-82.697974
MLS Listing,,Multi-Family (2-4 Unit),2420 5th Ave N,ST PETERSBURG,FL,33713,535000,5,3.0,ST PETERSBURG INVESTMENT CO SUB,1948,4831,1960,27,275,,Active,,,http://www.redfin.com/FL/St-Petersburg/2420-5th-Ave-N-33713/home/48105328,Stellar MLS,T3306867,N,Y,27.77713,-82.666317
MLS Listing,,Multi-Family (2-4 Unit),3434 3rd Ave S,ST. PETERSBURG,FL,33711,279000,5,2.0,NOT APPLICABLE,1774,,1934,27,157,,Active,,,http://www.redfin.com/FL/St-Petersburg/3434-3rd-Ave-S-33711/home/48096040,FORTMLS,221038930,N,Y,27.7679546,-82.6803451
