SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),144 174th Ave E,REDINGTON SHORES,FL,33708,595000,2,2.0,GAY SHORES,1092,5040,1950,30,545,,Active,,,http://www.redfin.com/FL/Redington-Shores/144-174th-Ave-E-33708/home/48198848,Stellar MLS,T3308117,N,Y,27.8230482,-82.8258775
MLS Listing,,Multi-Family (2-4 Unit),7301 7th St N,ST PETERSBURG,FL,33702,500000,5,4.0,GLENSIDE SUB,1986,9396,1960,31,252,,Active,,,http://www.redfin.com/FL/St-Petersburg/7301-7th-St-N-33702/home/48174125,Stellar MLS,T3307305,N,Y,27.8391674,-82.642587
MLS Listing,,Multi-Family (5+ Unit),707 20th Ave S,ST PETERSBURG,FL,33705,525000,7,6.0,GLENWOOD PARK,3186,12362,1947,33,165,,Active,,,http://www.redfin.com/FL/St-Petersburg/707-20th-Ave-S-33705/home/48178591,Stellar MLS,T3307588,N,Y,27.7506125,-82.6428412
MLS Listing,,Multi-Family (2-4 Unit),256 144th Ave,MADEIRA BEACH,FL,33708,650000,3,2.0,MADEIRA SHORES 1ST ADD,1849,5672,1950,45,352,,Active,,,http://www.redfin.com/FL/Madeira-Beach/256-144th-Ave-33708/home/47981483,Stellar MLS,U8122646,N,Y,27.800184,-82.794175
MLS Listing,,Multi-Family (2-4 Unit),618 17th Ave S,ST PETERSBURG,FL,33701,289900,4,3.0,LAUGHNERS EXT OF KERR ADD,2152,4722,1924,55,135,,Active,,,http://www.redfin.com/FL/St-Petersburg/618-17th-Ave-S-33701/home/48178865,Stellar MLS,A4499082,N,Y,27.7532432,-82.6408955
MLS Listing,,Multi-Family (2-4 Unit),6605 48th Ave N,ST PETERSBURG,FL,33709,399900,6,2.0,AIRY ACRES 4,1728,6817,1958,59,231,,Active,,,http://www.redfin.com/FL/St-Petersburg/6605-48th-Ave-N-33709/home/47933272,Stellar MLS,U8120830,N,Y,27.815735,-82.729669
MLS Listing,,Multi-Family (2-4 Unit),1320 18th Ave S,ST PETERSBURG,FL,33705,349499,3,2.0,EUCLID HEIGHTS,1512,21450,1951,68,231,,Active,,,http://www.redfin.com/FL/St-Petersburg/1320-18th-Ave-S-33705/home/48126895,Stellar MLS,T3301154,N,Y,27.7517701,-82.6527176
MLS Listing,,Multi-Family (2-4 Unit),659 26th Ave S,ST PETERSBURG,FL,33705,195000,4,2.0,HARBORDALE SUB,1200,1324,1925,68,163,,Active,,,http://www.redfin.com/FL/St-Petersburg/659-26th-Ave-S-33705/home/48193715,Stellar MLS,T3301101,N,Y,27.745237,-82.6419506
MLS Listing,,Multi-Family (2-4 Unit),2151 Oakley Ave S,ST PETERSBURG,FL,33712,265000,5,2.0,TANGERINE CENTRAL,1596,3785,1925,97,166,,Active,,,http://www.redfin.com/FL/St-Petersburg/2151-Oakley-Ave-S-33712/home/48128552,Stellar MLS,T3296071,N,Y,27.7555375,-82.6619056
MLS Listing,,Multi-Family (2-4 Unit),4010 32nd St N,ST PETERSBURG,FL,33714,324900,4,2.0,MARINI & SALVATORE SUB,2012,9505,1973,209,161,,Active,,,http://www.redfin.com/FL/St-Petersburg/4010-32nd-St-N-33714/home/47892001,Stellar MLS,U8105789,N,Y,27.808801,-82.676758
MLS Listing,,Multi-Family (5+ Unit),,PINELLAS PARK,FL,33781,668000,9,7.0,PINELLAS PARK,4888,4416,1960,236,137,,Active,,,http://www.redfin.com/FL/Pinellas-Park/Undisclosed-address-33781/home/48153278,Stellar MLS,T3273280,N,Y,27.8387255,-82.7225853
MLS Listing,,Multi-Family (5+ Unit),379 47th Ave N #106,ST PETERSBURG,FL,33703,265000,3,3.0,PARKLANE CONDO,1665,180000,1973,348,159,228,Active,,,http://www.redfin.com/FL/St-Petersburg/379-47th-Ave-N-33703/unit-106/home/47936585,Stellar MLS,U8090215,N,Y,27.8151395,-82.6380045
