SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),5700 Dr M.L.K. Jr St N,St. Petersburg,FL,33703,40000,,2.0,,1272,5201,1950,,31,,,,,http://www.redfin.com/FL/St-Petersburg/5700-Dr-M-L-K-Jr-St-N-33703/home/48237853,,,N,Y,27.8240728,-82.6471415
PAST SALE,,Multi-Family (2-4 Unit),150 51st St N,St. Petersburg,FL,33710,219000,,2.0,,1074,8102,1954,,204,,,,,http://www.redfin.com/FL/St-Petersburg/150-51st-St-N-33710/home/48086520,,,N,Y,27.772502,-82.702637
PAST SALE,April-1-2021,Multi-Family (2-4 Unit),7391 34th St N #7391,PINELLAS PARK,FL,33781,228000,4,2.0,E 120FT OF W 150FT OF S 63.5FT OF N 230.83FT OF SW,1296,7614,1981,55,176,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/7391-34th-St-N-33781/unit-7391/home/174220631,Stellar MLS,U8110500,N,Y,27.83872,-82.6794029
PAST SALE,March-26-2021,Multi-Family (2-4 Unit),6002 72nd Ave N,PINELLAS PARK,FL,33781,232000,4,2.0,PINELLAS PARK,1154,9261,1949,61,201,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/6002-72nd-Ave-N-33781/home/48152962,Stellar MLS,U8095310,N,Y,27.8378529,-82.7159304
PAST SALE,,Multi-Family (2-4 Unit),7391 34th St N,Pinellas Park,FL,33781,228000,,2.0,,1296,7614,1981,,176,,,,,http://www.redfin.com/FL/Pinellas-Park/7391-34th-St-N-33781/home/48135489,,,N,Y,27.83872,-82.6794029
PAST SALE,,Multi-Family (2-4 Unit),2631 15th Ave N,St. Petersburg,FL,33713,320000,,3.0,,1676,6874,1951,,191,,,,,http://www.redfin.com/FL/St-Petersburg/2631-15th-Ave-N-33713/home/48015671,,,N,Y,27.7867114,-82.6698837
PAST SALE,April-20-2021,Multi-Family (2-4 Unit),6511 76th Ave N,PINELLAS PARK,FL,33781,314900,4,2.0,PINELLAS PARK 1ST ADD,1418,6011,1958,36,222,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/6511-76th-Ave-N-33781/home/48162626,Stellar MLS,U8107415,N,Y,27.8405337,-82.7266428
PAST SALE,May-19-2021,Multi-Family (2-4 Unit),3800 2nd Ave N,ST PETERSBURG,FL,33713,350000,4,3.0,CENTRAL AVE HEIGHTS,1641,6347,1946,7,213,,Sold,,,http://www.redfin.com/FL/St-Petersburg/3800-2nd-Ave-N-33713/home/48094987,Stellar MLS,T3300053,N,Y,27.7726183,-82.6849847
PAST SALE,,Multi-Family (2-4 Unit),29 Westwood Ter N,St. Petersburg,FL,33710,245000,,2.0,,1620,14397,1951,,151,,,,,http://www.redfin.com/FL/St-Petersburg/29-Westwood-Ter-N-33710/home/48067988,,,N,Y,27.7716941,-82.7330915
PAST SALE,May-12-2021,Multi-Family (2-4 Unit),1605 23rd Ave N,ST PETERSBURG,FL,33713,352500,4,2.0,WOODHURST SUB,1216,5776,1925,14,290,,Sold,,,http://www.redfin.com/FL/St-Petersburg/1605-23rd-Ave-N-33713/home/47998823,Stellar MLS,U8115694,N,Y,27.7930839,-82.6552435
PAST SALE,May-18-2021,Multi-Family (2-4 Unit),1115 Highland St N,ST PETERSBURG,FL,33701,510000,4,3.0,MILLERS P L,1372,5467,1925,8,372,,Sold,,,http://www.redfin.com/FL/St-Petersburg/1115-Highland-St-N-33701/home/48054207,Stellar MLS,U8115750,N,Y,27.7829849,-82.6453988
PAST SALE,May-4-2021,Multi-Family (2-4 Unit),117 25th St N,ST PETERSBURG,FL,33713,285000,4,3.0,ST PETERSBURG INVESTMENT CO SUB,1454,2252,1922,22,196,,Sold,,,http://www.redfin.com/FL/St-Petersburg/117-25th-St-N-33713/home/48105847,Stellar MLS,U8114705,N,Y,27.7724729,-82.6669834
PAST SALE,,Multi-Family (2-4 Unit),6526 42nd Ave N,Kenneth City,FL,33709,235000,,2.0,,1440,8965,1959,,163,,,,,http://www.redfin.com/FL/Kenneth-City/6526-42nd-Ave-N-33709/home/47922939,,,N,Y,27.8097545,-82.7273699
PAST SALE,March-8-2021,Multi-Family (2-4 Unit),3734 67th Ave N,PINELLAS PARK,FL,33781,249900,,,SUNSET VIEW,1536,6730,1982,79,163,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/3734-67th-Ave-N-33781/home/48220285,Stellar MLS,U8110442,N,Y,27.8326195,-82.6841623
PAST SALE,April-30-2021,Multi-Family (2-4 Unit),2834 Freemont Ter S,ST PETERSBURG,FL,33712,178000,4,2.0,EAST ROSELAWN,1304,3650,1959,26,137,,Sold,,,http://www.redfin.com/FL/St-Petersburg/2834-Freemont-Ter-S-33712/home/48104959,Stellar MLS,A4494404,N,Y,27.764082,-82.671858
PAST SALE,,Multi-Family (2-4 Unit),5300 5th Ave S,St. Petersburg,FL,33707,215000,,1.0,,1393,11522,1925,,154,,,,,http://www.redfin.com/FL/St-Petersburg/5300-5th-Ave-S-33707/home/48084679,,,N,Y,27.766208,-82.7059013
