SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),197 148th Ave E,MADEIRA BEACH,FL,33708,499900,4,2.0,NORTH MADEIRA SHORES,1250,3376,1955,1,400,,Active,,,http://www.redfin.com/FL/Madeira-Beach/197-148th-Ave-33708/home/47970100,Stellar MLS,U8126884,N,Y,27.7997661,-82.797072
MLS Listing,,Multi-Family (2-4 Unit),8080 50th Ave N,ST PETERSBURG,FL,33709,450000,6,3.0,MA BY GLAD GARDENS,2700,7614,1976,3,167,,Active,,,http://www.redfin.com/FL/St-Petersburg/8080-50th-Ave-N-33709/home/47882442,Stellar MLS,T3312172,N,Y,27.8170121,-82.7508542
MLS Listing,,Multi-Family (2-4 Unit),6855 48th Ave N,ST PETERSBURG,FL,33709,279900,3,2.0,AIRY ACRES 2,1048,6795,1959,4,267,,Active,,,http://www.redfin.com/FL/St-Petersburg/6855-48th-Ave-N-33709/home/47933380,Stellar MLS,U8123808,N,Y,27.8157091,-82.7334287
MLS Listing,,Multi-Family (2-4 Unit),5549 59th Way N,ST PETERSBURG,FL,33709,295000,4,2.0,LEALMAN HIGHLANDS 3,1176,6543,1973,7,251,,Active,,,http://www.redfin.com/FL/St-Petersburg/5549-59th-Way-N-33709/home/48200429,Stellar MLS,U8126224,N,Y,27.8224422,-82.7156078
MLS Listing,,Multi-Family (2-4 Unit),5565 59th Way N,ST PETERSBURG,FL,33709,315000,4,2.0,LEALMAN HIGHLANDS 3,1176,6538,1973,7,268,,Active,,,http://www.redfin.com/FL/St-Petersburg/5565-59th-Way-N-33709/home/48200426,Stellar MLS,U8126240,N,Y,27.8225522,-82.715514
MLS Listing,,Multi-Family (2-4 Unit),1860 Massachusetts Ave NE #321,ST PETERSBURG,FL,33703,137000,,,REGENCY CONDO THE,905,134159,1974,7,151,323,Active,,,http://www.redfin.com/FL/St-Petersburg/1860-Massachusetts-Ave-NE-33703/unit-321/home/47912220,Stellar MLS,T3311286,N,Y,27.8155879,-82.6008831
MLS Listing,,Multi-Family (2-4 Unit),1145 16th Ave S,ST PETERSBURG,FL,33705,325000,7,3.0,HOLLYWOOD ADD REV MAP OF,1740,6678,1927,11,187,,Active,,,http://www.redfin.com/FL/St-Petersburg/1145-16th-Ave-S-33705/home/48127113,Stellar MLS,U8125829,N,Y,27.7545794,-82.6506018
MLS Listing,,Multi-Family (2-4 Unit),2046 Queensboro Ave S,ST PETERSBURG,FL,33712,339000,6,3.0,TANHURST SUB,1672,4927,1960,11,203,,Active,,,http://www.redfin.com/FL/St-Petersburg/2046-Queensboro-Ave-S-33712/home/48128884,Stellar MLS,U8125845,N,Y,27.7527781,-82.660478
MLS Listing,,Multi-Family (2-4 Unit),2420 5th Ave N,ST PETERSBURG,FL,33713,535000,5,3.0,ST PETERSBURG INVESTMENT CO SUB,1948,4831,1960,21,275,,Active,,,http://www.redfin.com/FL/St-Petersburg/2420-5th-Ave-N-33713/home/48105328,Stellar MLS,T3306867,N,Y,27.77713,-82.666317
MLS Listing,,Multi-Family (2-4 Unit),3434 3rd Ave S,ST. PETERSBURG,FL,33711,279000,5,2.0,NOT APPLICABLE,1774,,1934,21,157,,Active,,,http://www.redfin.com/FL/St-Petersburg/3434-3rd-Ave-S-33711/home/48096040,FORTMLS,221038930,N,Y,27.7679546,-82.6803451
MLS Listing,,Multi-Family (2-4 Unit),144 174th Ave E,REDINGTON SHORES,FL,33708,595000,2,2.0,GAY SHORES,1092,5040,1950,24,545,,Active,,,http://www.redfin.com/FL/Redington-Shores/144-174th-Ave-E-33708/home/48198848,Stellar MLS,T3308117,N,Y,27.8230482,-82.8258775
MLS Listing,,Multi-Family (2-4 Unit),7301 7th St N,ST PETERSBURG,FL,33702,500000,5,4.0,GLENSIDE SUB,1986,9396,1960,25,252,,Active,,,http://www.redfin.com/FL/St-Petersburg/7301-7th-St-N-33702/home/48174125,Stellar MLS,T3307305,N,Y,27.8391674,-82.642587
MLS Listing,,Multi-Family (5+ Unit),707 20th Ave S,ST PETERSBURG,FL,33705,525000,7,6.0,GLENWOOD PARK,3186,12362,1947,27,165,,Active,,,http://www.redfin.com/FL/St-Petersburg/707-20th-Ave-S-33705/home/48178591,Stellar MLS,T3307588,N,Y,27.7506125,-82.6428412
MLS Listing,,Multi-Family (2-4 Unit),719 20th Ave S,ST PETERSBURG,FL,33705,264975,,,GLENWOOD PARK,1854,6247,1957,47,143,,Active,,,http://www.redfin.com/FL/St-Petersburg/719-20th-Ave-S-33705/home/48178592,Stellar MLS,T3303841,N,Y,27.7505531,-82.6429846
MLS Listing,,Multi-Family (2-4 Unit),618 17th Ave S,ST PETERSBURG,FL,33701,289900,4,3.0,LAUGHNERS EXT OF KERR ADD,2152,4722,1924,49,135,,Active,,,http://www.redfin.com/FL/St-Petersburg/618-17th-Ave-S-33701/home/48178865,Stellar MLS,A4499082,N,Y,27.7532432,-82.6408955
MLS Listing,,Multi-Family (2-4 Unit),6605 48th Ave N,ST PETERSBURG,FL,33709,399900,6,2.0,AIRY ACRES 4,1728,6817,1958,53,231,,Active,,,http://www.redfin.com/FL/St-Petersburg/6605-48th-Ave-N-33709/home/47933272,Stellar MLS,U8120830,N,Y,27.815735,-82.729669
MLS Listing,,Multi-Family (2-4 Unit),1320 18th Ave S,ST PETERSBURG,FL,33705,349499,3,2.0,EUCLID HEIGHTS,1512,21450,1951,62,231,,Active,,,http://www.redfin.com/FL/St-Petersburg/1320-18th-Ave-S-33705/home/48126895,Stellar MLS,T3301154,N,Y,27.7517701,-82.6527176
MLS Listing,,Multi-Family (2-4 Unit),659 26th Ave S,ST PETERSBURG,FL,33705,195000,4,2.0,HARBORDALE SUB,1200,1324,1925,62,163,,Active,,,http://www.redfin.com/FL/St-Petersburg/659-26th-Ave-S-33705/home/48193715,Stellar MLS,T3301101,N,Y,27.745237,-82.6419506
MLS Listing,,Multi-Family (2-4 Unit),2151 Oakley Ave S,ST PETERSBURG,FL,33712,265000,5,2.0,TANGERINE CENTRAL,1596,3785,1925,91,166,,Active,,,http://www.redfin.com/FL/St-Petersburg/2151-Oakley-Ave-S-33712/home/48128552,Stellar MLS,T3296071,N,Y,27.7555375,-82.6619056
MLS Listing,,Multi-Family (2-4 Unit),4010 32nd St N,ST PETERSBURG,FL,33714,324900,4,2.0,MARINI & SALVATORE SUB,2012,9505,1973,203,161,,Active,,,http://www.redfin.com/FL/St-Petersburg/4010-32nd-St-N-33714/home/47892001,Stellar MLS,U8105789,N,Y,27.808801,-82.676758
MLS Listing,,Multi-Family (5+ Unit),,PINELLAS PARK,FL,33781,668000,9,7.0,PINELLAS PARK,4888,4416,1960,230,137,,Active,,,http://www.redfin.com/FL/Pinellas-Park/Undisclosed-address-33781/home/48153278,Stellar MLS,T3273280,N,Y,27.838674,-82.722624
MLS Listing,,Multi-Family (5+ Unit),379 47th Ave N #106,ST PETERSBURG,FL,33703,265000,3,3.0,PARKLANE CONDO,1665,180000,1973,342,159,228,Active,,,http://www.redfin.com/FL/St-Petersburg/379-47th-Ave-N-33703/unit-106/home/47936585,Stellar MLS,U8090215,N,Y,27.8153197,-82.6375589
